,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P02768,49.35369961256902,35.704567185073735,48.41094222452374,22.40959053787378,20.61793930872576,20.815448938925137,9.971352790770789,27.331384999535853,23.940359993983513,21.647723081497865,16.08226337794281,18.6471045785511
P01834,39.88639142414417,26.121450468289254,22.17230939109716,14.652962643990081,14.252050970157395,10.873490535362318,15.658831465510199,12.226756030850847,15.924104870528696,16.26440766281581,13.6898134460777,11.741405016278563
P04004,25.862177621836587,23.308603079203824,14.532939738152237,10.927656494159137,9.812087237205926,8.22930647878217,6.381640489614757,22.21869408479804,17.95874103837746,7.684590256095078,5.939983187725771,9.053665158384781
P02647,22.099939100825324,16.934656999419513,9.293685866439318,8.60474946774737,8.144872257922199,3.5656839830882867,6.944774610553084,11.982931634948942,7.081507408982486,6.492531365110191,7.263830060539038,5.828008856879744
P02649,35.302547312233386,12.10304368051998,9.146052887009223,8.98715925474938,7.659170293223111,5.900501831207816,5.174444420598426,13.356742009011704,8.634187875204526,8.455249883208317,6.8283189740472485,4.767045414524965
P01008,59.316529172069764,35.936754703214426,29.767590995814196,22.279552631966997,22.40781157883757,42.95723863345391,30.278232245910452,44.63231142763975,27.895107558407222,20.818394406485105,21.716476254658176,13.44359975959398
P01857,23.551300515527046,17.61307130055852,14.003217424021111,9.14035768148441,10.108688948566536,21.786594385381893,19.300659001289866,17.47362571712654,13.832101555962648,9.347344116583162,17.94670841818026,8.489982666645854
P02656,61.814071618104016,42.12798762261136,32.054275190750175,18.732380490447923,41.355925729048934,25.466358431202423,35.07952516635547,16.9948815451988,17.637246681145356,9.059395341342919,17.197660220866094,13.739915433743699
P10909,28.73460280162362,21.027083270884148,19.946783848235583,11.239474703498171,15.62628168793719,17.564594165063664,10.408512853512196,22.474911076810944,19.692928370864017,8.107630078022074,5.632132909323008,10.217538148698118
P00734,54.64417894417098,35.21962615708846,21.505466935388448,22.52943237699099,25.710798252892875,12.690727884054231,8.060589863351296,43.61135998027281,49.51964864329093,13.773271327758662,13.932423999823524,14.56786787453
P02675,74.79279251362617,42.122712594735205,52.851415511863344,28.05274446238746,18.19318649659245,9.801542533204424,10.958537627507894,18.155131208171117,33.889749823694814,18.064637034424145,36.879262912414845,18.47566205913049
P04196,60.609533557212316,16.583192268152125,18.294582581487976,27.986949951677033,22.0864952986009,57.485038883734674,38.58055855965881,26.153750926681894,15.756140347526332,11.8788729487295,11.262307426744698,14.846556565919759
P02679,66.03545797673311,40.89309339676418,49.47899408513499,27.397172789540214,17.725745096873144,11.688399674029787,11.884761322603163,21.065764952517053,31.984679834453054,28.410797329120662,29.44171432045859,14.491450041265388
P02652,70.50615868344148,41.721081074047135,29.831864184741885,20.398899149282972,21.45379869386176,9.880973755144575,16.553390039774424,28.03668759779214,13.586532166565727,10.532694550472506,9.30386677802724,13.194099700699239
P01042,63.92155678870731,35.774617592477895,26.681426607273252,42.33215624985242,44.5887546830192,50.54073180427925,32.3908510480021,27.97005537488208,19.55525041266922,12.899558632351571,14.095583661411984,10.641631438583847
P01024,13.091344916297542,8.43037012654364,9.100513471048929,5.352160384105197,3.956189648624215,9.537818746107448,5.2085158555459214,7.647911924696546,6.140992262113711,5.963851449085648,1.8945165779760158,3.351285737192406
P02671,52.04631778769616,51.96174346456534,50.74608757638479,41.79103141745609,19.000408350348298,16.827737291990356,20.63421758896345,7.260084270249534,25.938922204367405,29.67184790769211,27.593446379304755,14.676624122036882
P01871,25.029155320700657,17.163217446666827,16.03459276704321,15.136826846863649,14.097253248290107,9.638614584753553,10.214930911627535,11.360999367255562,8.303222100451322,5.006730384447575,6.88513687735893,10.8208144202503
P01009,46.56504108925522,34.11350789590997,31.8503971537754,21.27007444493549,19.964589663207587,38.36325234877857,22.119804618568153,29.944403350160187,21.434400101036168,12.375614626377281,10.495009498143618,13.18513806798543
P04003,41.9465324242982,38.772624864022895,33.09991145969604,28.684423792088353,28.04218513858279,18.937084739071945,25.723106246566868,28.761288739970208,32.666576798888144,18.301746544544788,30.886019321802184,17.943261954313876
P0DOY2,81.39460222034491,36.725158746359526,30.425463838368955,27.243596131368136,20.316533270496397,12.896734395441742,9.6600487509034,33.52212068059534,12.99886801816762,35.42985301520818,16.534550891894643,11.092449665037122
P02655,71.5788279319013,65.2052284316341,46.931950781623215,35.450101399473525,27.880145591511607,7.951682803408396,39.26802569196572,32.88823187899449,15.60158023644912,14.223198798785571,28.801735989006204,23.14706864983192
P02766,64.05176198589369,43.999998739372884,25.848811093273998,22.005470430050973,24.43410124478169,31.83783025413256,15.753128747891287,52.71650881567446,25.582767380911264,15.209898798973773,21.738228994465672,14.877821970690992
